Borough,name,park_id,permit_number,type_name
Brooklyn,Bensonhurst Park Mobile Food Truck,B007,B7-MT,Mobile Food Truck
Brooklyn,Maria Hernandez Park Food Cart,B016,B16-C,Food Cart
Brooklyn,Marine Park Mobile Truck,B057,B57-1MT,Mobile Food Truck
Brooklyn,McCarren Parkhouse Cafe,B058,B58-SB,Snack Bar
Brooklyn,Prospect Park Mount Food Cart,B073,B159-C,Food Cart
Brooklyn,Prospect Park Snack Bar,B073,B73-SB,Snack Bar
Brooklyn,Sunset Park Food Cart,B087,B87-C,Food Cart
Brooklyn,Seth Low Park Mobile Food Truck,B100,B100-MT,Mobile Food Truck
Brooklyn,Columbus Park Snack Bar,B113C,B113-C-SB,Snack Bar
Brooklyn,Red Hook Recreation Center Mobile Food Truck,B126,B126-3MT,Mobile Food Truck
Brooklyn,Plumb Beach Mobile Food Truck,B164,B57-B-MT,Mobile Food Truck
Brooklyn,Belmont Playground Mobile Food Trucks,B283,X108-MT,Mobile Food Truck
Brooklyn,Public Place Food Cart,B290,B290-C,Food Cart
Brooklyn,Jackie Robinson Park Mobile Food Truck,B294,M14-MT,Mobile Food Truck
Manhattan,Battery Gardens Restaurant,M005,M5-F-R,Restaurant
Manhattan,Peter Minuit Snack Bar,M005,M5-PM-SB,Snack Bar
Manhattan,Battery Park Snack Bar,M005,M5-SB,Snack Bar
Manhattan,Battery Park Specialty Food Cart,M005,M5-CG,Specialty Cart
Manhattan,Bowling Green Park Specialty Cart,M007,M7-CG,Specialty Cart
Manhattan,Central Park Food Cart,M010,M10-72-1A-C,Food Cart
Manhattan,Central Park Food Cart,M010,M10-72-ED-C,Food Cart
Manhattan,Central Park Food Cart,M010,M10-74-WD-C,Food Cart
Manhattan,Central Park Food Cart,M010,M10-W65-C,Food Cart
Manhattan,Central Park Food Cart,M010,M10-W67-C,Food Cart
Manhattan,Nuts Above Nuts,M010,M10-W60-HP-C,Food Cart
Manhattan,"NANDITA, INC.",M010,M10-72-1B-C,Food Cart
Manhattan,Big City Snacks,M010,M10-E65-C,Food Cart
Manhattan,"Nandita In,=c.",M010,M10-E66-CD-C,Food Cart
Manhattan,MUHAMMAD T. ISLAM,M010,M10-E82-GL-C,Food Cart
Manhattan,"JANANI FOOD SERVICES, INC.",M010,M10-W61-HP-C,Food Cart
Manhattan,Mohammad Matin,M010,M10-W63-HP-C,Food Cart
Manhattan,"Sharmin, Inc.",M010,M10-W109-C,Food Cart
Manhattan,Central Park Food Cart,M010,M10-61-ED-C,Food Cart
Manhattan,Big City Snacks,M010,M10-62-WD-C,Food Cart
Manhattan,Big City Snacks,M010,M10-72-1C-C,Food Cart
Manhattan,Big City Snacks,M010,M10-72-3-C,Food Cart
Manhattan,Big City Snacks,M010,M10-72-CW-C,Food Cart
Manhattan,Big City Snacks,M010,M10-59-C,Food Cart
Manhattan,Big City Snacks,M010,M10-73-BB-C,Food Cart
Manhattan,Big City Snacks,M010,M10-84-ED-C,Food Cart
Manhattan,Big City Snacks,M010,M10-E62-C,Food Cart
Manhattan,Nandita Inc,M010,M10-79-ED-C,Food Cart
Manhattan,Nandita Inc.,M010,M10-W85-GL-C,Food Cart
Manhattan,Nuts Above Nuts,M010,M10-E66-SM-C,Food Cart
Manhattan,Waves Nuts,M010,M10-86-WD-C,Food Cart
Manhattan,Loeb Boathouse Restaurant,M010,"M10-(14)-BR,SB,R",Restaurant
Manhattan,Tavern on the Green,M010,M10(34)-R,Restaurant
Manhattan,Conservatory Water Snack Bar,M010,M10(15)-SB,Snack Bar
Manhattan,Mineral Springs Cafe,M010,M10-33-SB,Snack Bar
Manhattan,Arsenal Snack Bar,M010,M10-SB,Snack Bar
Manhattan,Delacorte Theatre Snack Bar,M010,M10-DT-SB,Snack Bar
Manhattan,CAF&Eacute; PRODUCTS CORP.,M010,M10-W59-CG,Specialty Cart
Manhattan,Nandita Inc.,M010,M10-W81-GL-CG,Specialty Cart
Manhattan,Nandita Inc.,M010,M10-E72-CG,Specialty Cart
Manhattan,Nandita Inc.,M010,M10-E72-CG,Specialty Cart
Manhattan,Nandita Inc,M010,M10-62-CD-CG,Specialty Cart
Manhattan,Jackie Robinson Park Mobile Food Truck,M014,M14-MT,Mobile Food Truck
Manhattan,Fort Tryon Park Mobile Food Truck,M029,M29-2-C,Mobile Food Truck
Manhattan,The Hudson,M029,M28-R,Restaurant
Manhattan,Rice the Great Specialty Food Cart,M030,M30-1-CG,Specialty Cart
Manhattan,Alexander Hamilton Plygrd Mobile Food Truck,M041,M41-W140-MT,Mobile Food Truck
Manhattan,Inwood Hill Food Cart,M042,M42-10-C,Food Cart
Manhattan,Inwood Hill Food Cart,M042,M42-4-C,Food Cart
Manhattan,John Jay Park Food Cart,M045,M45-C,Food Cart
Manhattan,Cafe Products Corp,M051,M51-CG,Specialty Cart
Manhattan,Shake Shack,M052,M52-SB,Snack Bar
Manhattan,King David Taco,M052,M52-CG,Specialty Cart
Manhattan,T. Roosevelt Park Specialty Food Cart,M053,M53-CG,Specialty Cart
Manhattan,Riverside Park Food Cart,M071,M71-W109-C,Food Cart
Manhattan,Riverside Park Food Cart,M071,M72-W148-1-C,Food Cart
Manhattan,Ellington In The Park,M071,M71(105)-R,Snack Bar
Manhattan,Riverside Park Specialty Food Cart,M071,M71-83-CG,Specialty Cart
Manhattan,Rvierside Park Specialty Food Cart,M071,M71-W101-CG,Specialty Cart
Manhattan,Tompkinsville Square Food Cart,M088,R24-C,Food Cart
Manhattan,Freehold in the Park,M089,M89-SB-R,Restaurant
Manhattan,Verdi Square Snack Bar,M097,M94-SB,Snack Bar
Manhattan,Washington Square Park Food Cart,M098,M98-F-C,Food Cart
Manhattan,NY Dosas,M098,M98-EC-CG,Specialty Cart
Manhattan,First Park Outdoor Cafe,M124,M124-SB,Snack Bar
Manhattan,Anibal Aviles Playground Mobile Food Truck,M200,M200-200A/200/229-MT,Mobile Food Truck
Manhattan,Wald Playground Food Cart,M201,M201-C,Food Cart
Manhattan,PS 199 Playground Mobile Food Truck,M233,M233-MT,Mobile Food Truck
Manhattan,Pier I Cafe,M353,M353-SB,Snack Bar
Manhattan,Imagination Playground Specialty Food Cart,M386,M386-CG,Specialty Cart
Queens,Clearview Cafe,Q010,Q10-A-R,Restaurant
Queens,Windmuller Park Food Cart,Q031,Q31-C,Food Cart
Queens,Hart Playground Mobile Food Truck,Q067A,Q419-MT,Mobile Food Truck
Queens,Memorial Field Mobile Food Truck,Q086,Q86-MT,Mobile Food Truck
Queens,Frank O'Connor Park Food Cart,Q098,Q98-C,Food Cart
Queens,Flushing Meadows Corona Park Food Cart,Q099,Q99-(1)-C,Food Cart
