Borough,Market Name,Community District,Zip Code
Bronx,Lincoln Hospital Greenmarket,201,10451
Bronx,New Roots Farm Stand,204,10451
Bronx,170 Farm Stand,204,10452
Bronx,La Familia Verde Farmers Market / Highbridge Farmers Market,204,10452
Bronx,Bronx Borough Hall Greenmarket,204,10452
Bronx,Morris Heights Farmstand,205,10453
Bronx,Mott Haven Farm Stand,201,10454
Bronx,Harvest Home St. Mary's Park Farm Stand,201,10455
Bronx,Morrisania Farmstand,203,10456
Bronx,BronxWorks Farm Stand,204,10456
Bronx,Project EATS & St. Barnabas Hospital Farm Stand,206,10457
Bronx,Children's Aid Go!Healthy Food Box + Farmstand - CS211,206,10457
Bronx,Harvest Home Mt. Eden Malls Farmers Market,204,10457
Bronx,La Familia Verde Farmers Market,206,10457
Bronx,Poe Park Greenmarket,207,10458
Bronx,Morning Glory Market at the New York Botanical Gardens,227,10458
Bronx,Harvest Home Hunts Point Farm Stand,202,10459
Bronx,Harvest Home Jacobi Hospital Farmers Market,211,10461
Bronx,Bronx Park East Farmers Market,211,10462
Bronx,Van Cortlandt Park Alliance Amalgamated Housing Youth Farmstand,208,10463
Bronx,Kingsbridge-Riverdale Farmers' Market,208,10463
Bronx,The Market at Preston,210,10465
Bronx,Bissel Gardens Farmers Market,212,10466
Bronx,Eastchester Farmstand,212,10466
Bronx,Harvest Home North Central Bronx Farmers Market,207,10467
Bronx,Norwood Farmstand,207,10467
Bronx,JBOLC Garden Community Farmers Market,207,10468
Bronx,Riverdale Neighborhood House,208,10471
Bronx,Riverdale Y Sunday Farmers Market,208,10471
Bronx,Parkchester Greenmarket,209,10472
Bronx,Harvest Home Co-op City Farm Stand,210,10475
Brooklyn,Brooklyn Borough Hall Greenmarket,302,11201
Brooklyn,Fort Greene Greenmarket,302,11201
Brooklyn,Seeds in the Middle East Flatbush Farm Stand 2,317,11203
Brooklyn,Harvest Home Kings County Hospital Farmers Market,317,11203
Brooklyn,Wyckoff House Museum Farmstand,317,11203
Brooklyn,Urban Oasis,309,11203
Brooklyn,Woodhull Hospital Farmstand,301,11206
Brooklyn,Fresh Vibes Market at Emblem Health,305,11207
Brooklyn,East New York Farmers Market,305,11207
Brooklyn,Cypress Hills Farmstand,305,11208
Brooklyn,East New York Farmers Stand I,305,11208
Brooklyn,Bay Ridge Greenmarket,310,11209
Brooklyn,Seeds in the Middle - Flatbush - Hillel Plaza Farm Stand,314,11210
Brooklyn,Flatbush Junction Farmstand,314,11210
Brooklyn,McCarren Park Greenmarket,301,11211
Brooklyn,Brownsville Pitkin Farmstand,316,11212
Brooklyn,Isabahlia Farmers Market,316,11212
Brooklyn,Project EATS Brownsville Farm Stand,316,11212
