"name","location","park_id","start_date","end_date","description","permit_number","phone","website","type_name"
"Central Park Food Cart","Central Park Mall Area, northwest side of the Bandshell","M010","2019-06-15","2023-12-31","null","M10-72-1A-C","null","null","Food Cart"
"Central Park Food Cart","East Drive and 72 Street","M010","2021-04-01","2024-12-31","null","M10-72-ED-C","null","null","Food Cart"
"Central Park Food Cart","West Drive, between West 74 and West 75 streets","M010","2021-04-30","2024-12-31","null","M10-74-WD-C","null","null","Food Cart"
"Central Park Food Cart","Northwest corner of Heckscher ballfields","M010","2018-06-11","2022-12-31","null","M10-W65-C","null","null","Food Cart"
"Central Park Food Cart","East side of West Drive at West 96 Street","M010","2019-03-13","2023-12-31","null","M10-W67-C","null","null","Food Cart"
"Flushing Meadows Corona Park Food Cart","North corner of Soccer Field #5","Q099","2018-05-24","2021-12-31","null","Q99-(1)-C","null","null","Food Cart"
"Flushing Meadows Corona Park Food Cart","Around the outer pathway of the Unisphere","Q099","2021-01-01","2024-12-31","null","Q99-2-C","null","null","Food Cart"
"Flushing Meadows Corona Park Food Cart","Flushing Meadows Corona Park, the designated volleyball Area","Q099","2019-03-18","2023-12-31","null","Q99-VB5C","null","null","Food Cart"
"Flushing Meadows Corona Park Food Cart","Flushing Meadows Corona Park, in the the designated volleyball area","Q099","2019-03-18","2023-12-31","null","Q99-VBDC","null","null","Food Cart"
"Flushing Meadows Corona Park Food Cart","Flushing Meadows Corona Park, in the the designated volleyball area","Q099","2019-02-25","2023-12-31","null","Q99-VBEC","null","null","Food Cart"
"Flushing Meadows Corona Park Food Cart","In the designated volleyball area","Q099","2019-03-20","2023-12-31","null","Q99-VBFC","null","null","Food Cart"
"Van Cortlandt Park Food Cart","Near Paddleball courts at Broadway & West 241 Street","X092","2018-07-17","2022-12-31","null","X92-(11)-C","null","null","Food Cart"
"Williamsbridge Oval Playground Food Cart","Van Cortlandt Avenue East & Reservoir Oval East","X104","2018-03-07","2023-12-31","null","X104-C","null","null","Food Cart"
"Pelham Bay Park Food Cart","Outside playground #1, at Middleton Road","X039","2019-06-28","2023-12-31","null","X39-1-C","null","null","Food Cart"
"Windmuller Park Food Cart","52nd Street and 39th Road","Q031","2019-03-25","2023-12-31","null","Q31-C","null","null","Food Cart"
"Pushcart","Near northern intersection of Avenues of Progress & Commerce","Q099","2019-04-15","2023-12-31","null","Q99-6-AC","null","null","Food Cart"
"Tweety's Mobile Food Truck","E 172 St. Bw Morris and Teller Aves.","X008","2018-02-21","2022-12-31","null","X8-3MT","null","null","Food Cart"
"Hugh Grant Circle Food Cart","East 177th Street, Wstchester Avenue, Virginia Avenue","X025","2018-01-01","2022-12-31","null","X25-C","null","null","Food Cart"
"Prospect Park Mount Food Cart","Grand Army Plaza","B073","2018-06-11","2024-12-31","null","B159-C","null","null","Food Cart"
"Williamsbridge Oval Park","South corner of track","X104","2018-02-27","2023-12-31","null","X104-2-C","null","null","Food Cart"
"Nuts Above Nuts","Hecksher Playground","M010","2023-06-21","2027-12-31","null","M10-W60-HP-C","null","null","Food Cart"
"NANDITA, INC.","MALL AREA. S.W. OF BANDSHELL","M010","2019-02-13","2023-12-31","null","M10-72-1B-C","null","null","Food Cart"
"Big City Snacks","NORTH OF UNDERPASS NEAR TISCH CHILDREN'S ZOO","M010","2022-04-11","2026-12-31","null","M10-E65-C","null","null","Food Cart"
"Nandita In,=c.","LITERARY WALK ACROSS FROM R. BURNS STATUE","M010","2022-06-16","2026-12-31","null","M10-E66-CD-C","null","null","Food Cart"
"MUHAMMAD T. ISLAM","EAST END OF OF THE GREAT LAWN, EAST 82 ST.","M010","2017-01-01","2023-12-31","null","M10-E82-GL-C","null","null","Food Cart"
"JANANI FOOD SERVICES, INC.","SOUTHEND OF PATH LEADING TO HECKSCHER BLDG.","M010","2019-02-13","2023-12-31","null","M10-W61-HP-C","null","null","Food Cart"
"Mohammad Matin","NORTHEND OF HECKSCHER PLAYGROUND, WEST 63 ST.","M010","2019-03-15","2023-12-31","null","M10-W63-HP-C","null","null","Food Cart"
"Sharmin, Inc.","WEST 109 ST & MALCOLM X, INSIDE PARK (AT FORK)","M010","2019-02-26","2023-12-31","null","M10-W109-C","null","null","Food Cart"
"Maria Hernandez Park Food Cart","Maria Hernandez Park","B016","2019-02-01","2023-12-31","null","B16-C","null","null","Food Cart"
"Public Place Food Cart","ELDERT LANE B/W LIBERTY & GLENMORE","B290","2023-08-23","2027-12-31","null","B290-C","null","null","Food Cart"
"Sunset Park Food Cart","Sunset Park","B087","2018-04-13","2022-12-31","null","B87-C","null","null","Food Cart"
"Central Park Food Cart","East Drive and 61 Street","M010","2023-06-08","2027-12-31","null","M10-61-ED-C","null","null","Food Cart"
"Wald Playground Food Cart","Wald Playground","M201","2016-08-11","2020-12-31","null","M201-C","null","null","Food Cart"
"Inwood Hill Food Cart","Southern Soccer Field","M042","2019-03-29","2023-12-31","null","M42-10-C","null","null","Food Cart"
"Inwood Hill Food Cart","Isham Street Entrance to Park","M042","2022-05-14","2026-12-31","null","M42-4-C","null","null","Food Cart"
"John Jay Park Food Cart","John Jay Park","M045","2018-07-17","2022-12-31","null","M45-C","null","null","Food Cart"
"Riverside Park Food Cart","West 109 Street and Riverside Park","M071","2017-10-16","2021-12-31","null","M71-W109-C","null","null","Food Cart"
"Riverside Park Food Cart","West 148 Street Near the Playground","M071","2018-04-14","2022-12-31","null","M72-W148-1-C","null","null","Food Cart"
"Washington Square Park Food Cart","Washington Square Park near Fountain","M098","2021-04-01","2024-12-31","null","M98-F-C","null","null","Food Cart"
"Junction Playground Food Cart","Junction Playground","Q122","2019-03-20","2023-12-31","null","Q122-C","null","null","Food Cart"
"Travers Park Food Cart","Travers Park","Q303","2018-06-28","2023-06-30","null","Q303-C","null","null","Food Cart"
"PS 149 Playground Food Cart","Northern Playground","Q363","2019-03-20","2023-12-31","null","Q363-C","null","null","Food Cart"
"Tompkinsville Square Food Cart","Tomkins Square Park","M088","2017-09-06","2021-12-31","null","R24-C","null","null","Food Cart"
"Clove Lakes Park Food Cart","Clove Lakes Park","R005","2019-02-18","2023-12-31","null","R5-3-C","null","null","Food Cart"
"J Rodman Drake Park Food Cart","Joseph Rodman Drake Park","X015","2016-06-22","2020-12-31","null","X15-C","null","null","Food Cart"
"River Park Food Cart","River Park Boston Road and 180 Street","X002","2017-10-05","2021-12-31","null","X288-C","null","null","Food Cart"
"Frank O'Connor Park Food Cart","Frank O'Connor Playground","Q098","2019-03-18","2023-12-31","null","Q98-C","null","null","Food Cart"
"Big City Snacks","62nd Street West Drive","M010","2022-04-11","2026-12-31","null","M10-62-WD-C","null","null","Food Cart"
"Big City Snacks","Mall, Bandshell Area & Dead Road","M010","2022-04-11","2026-12-31","null","M10-72-1C-C","null","null","Food Cart"
"Big City Snacks","72 Street, Daniel Webster","M010","2022-04-11","2026-12-31","null","M10-72-3-C","null","null","Food Cart"
"Big City Snacks","72nd Street Transverse","M010","2023-06-08","2027-12-31","null","M10-72-CW-C","null","null","Food Cart"
"Big City Snacks","Columbus Circle Plaza","M010","2023-04-11","2026-12-31","null","M10-59-C","null","null","Food Cart"
"Big City Snacks","Bow Bridge","M010","2023-04-11","2026-12-31","null","M10-73-BB-C","null","null","Food Cart"
"Big City Snacks","East Drive and 84th Street","M010","2022-04-11","2026-12-31","null","M10-84-ED-C","null","null","Food Cart"
"Big City Snacks","62nd Street near Zoo Entrance","M010","2022-04-11","2026-12-31","null","M10-E62-C","null","null","Food Cart"
"Nandita Inc","West Side of East Drive 79 Street","M010","2022-05-14","2026-12-31","null","M10-79-ED-C","null","null","Food Cart"
"Nandita Inc.","Great Lawn and West 85 Street","M010","2022-05-14","2026-12-31","null","M10-W85-GL-C","null","null","Food Cart"
"Nuts Above Nuts","East Side of Sheep Meadow, 66 Street","M010","2023-06-21","2027-12-31","null","M10-E66-SM-C","null","null","Food Cart"
"Waves Nuts","West 86 and West Drive","M010","2022-06-16","2026-12-31","null","M10-86-WD-C","null","null","Food Cart"
"Seth Low Park Mobile Food Truck","Between Bay Parkway & Avenue P","B100","2018-06-22","2022-12-31","null","B100-MT","null","null","Mobile Food Truck"
"Red Hook Recreation Center Mobile Food Truck","Bay Street between Henry & Clinton streets","B126","2014-07-01","2022-12-31","null","B126-3MT","null","null","Mobile Food Truck"
"Jackie Robinson Park Mobile Food Truck","Bradhurst Avenue between West 145 & West 155 streets","B294","2018-03-28","2022-12-31","null","M14-MT","null","null","Mobile Food Truck"
"Anibal Aviles Playground Mobile Food Truck","West 107 to West 108 street and Amsterdam to Columbus Avenues","M200","2018-03-12","2022-12-31","This mobile food unit is also authorized to operate at Bloomingdale/Ps145 Playground (West 104-West 105, Amsterdam-Columbus), Frederick Douglass Playground (West 101-West 102 & Amsterdam), and Happy Warrior Playground (West 97-West 98 & Amsterdam)","M200-200A/200/229-MT","null","null","Mobile Food Truck"
"Kissena Corridor Park Mobile Food Truck","Utopia Parkway near Lie & Underhill roads","Q300","2018-05-10","2022-12-31","null","Q300-MT","null","null","Mobile Food Truck"
"Thomas J. Travers Playground Mobile Food Truck","34th Avenue between 77 & 78 streets","Q303","2019-01-01","2022-12-31","null","Q303-MT","null","null","Mobile Food Truck"
"Vleigh Place Playground Mobile Food Truck","Vleigh Place & 141 Street","Q336","2021-01-01","2024-12-31","null","Q336-MT","null","null","Mobile Food Truck"
"Frederick Cabbell Park Mobile Food Truck","236th Stret & 121st Avenue","Q339","2019-03-20","2023-12-31","null","Q339-MT","null","null","Mobile Food Truck"
"PS 127 Elmhurst Playground Mobile Food Truck","27th Avenue","Q373","2019-01-01","2022-12-31","null","Q373-MT","null","null","Mobile Food Truck"
"Flushing Meadows Corona Park Mobile Food Truck","Near Unisphere, along the pathway","Q099","2019-05-01","2023-12-31","null","Q99-1-MT","null","null","Mobile Food Truck"
"Flushing Meadows Corona Park Mobile Food Truck","Near the Hall of Science","Q099","2019-01-01","2022-12-31","null","Q99-HS-MT","null","null","Mobile Food Truck"
"Flushing Meadows Corona Park Mobile Food Truck","Near South Bridge By Queens Zoo","Q099","2018-06-29","2022-12-31","null","Q99-ZMT","null","null","Mobile Food Truck"
"Bloomingdale Park Mobile Food Truck","Richmond Parkway, Bloomingdale Road, and Lenevar Avenue","R106","2019-02-18","2023-12-31","null","R106-MT","null","null","Mobile Food Truck"
"Sound View Park Mobile Food Truck","Southwest corner of Metcalf and Lafayette avenues","X118","2019-05-14","2023-12-31","null","X118-2MT","null","null","Mobile Food Truck"
"Sound View Park Mobile Food Truck","Lafayette Ave., btwn. Boynton Ave. and Colgate Ave.","X118","2019-04-10","2023-12-31","null","X118-(4)MT","null","null","Mobile Food Truck"
"Devoe Park Mobile Food Truck","West Fordham Road & University Avenue","X013","2018-06-04","2022-12-31","null","X13-MT","null","null","Mobile Food Truck"
"P.S. 106 Playground Mobile Food Truck","St. Raymond Avenue between O'dell & Purdy streets","X160","2021-01-01","2024-12-31","null","X160-MT","null","null","Mobile Food Truck"
"Haffen Park Mobile Food Truck","Burk, Ely & Gunter Avenues","X196","2018-07-13","2022-12-31","null","X196-MT","null","null","Mobile Food Truck"
"Bronx Park Mobile Food Truck","Between Gun Hill Rd. and Waring Ave.","X002","2019-04-10","2023-12-31","null","X2-MT","null","null","Mobile Food Truck"
"Seton Park Mobile Food Truck","West 235th Street & Independence Avenue","X201","2018-07-17","2022-12-31","null","X201-MT","null","null","Mobile Food Truck"
"Pelham Bay Park Mobile Food Truck","Rice Stadium Place","X039","2021-01-01","2024-12-31","null","X39(1)-MT","null","null","Mobile Food Truck"
"Pelham Bay Park Mobile Food Truck","Rodman's Neck Parking Lot","X039","2020-07-01","2024-12-31","null","X39-3-MT","null","null","Mobile Food Truck"
"Claremont Park Mobile Food Truck","Mount Eden Pkwy, Morris and Eastburn Aves.","X008","2019-03-01","2023-12-31","null","X8-(2)MT","null","null","Mobile Food Truck"
"People's Park Mobile Food Truck","People's Park: Brook Ave, St Anns Ave, E 141 St; PS18 & Paterson Houses Plgd.: Morris Ave, E 148 St, College Ave, E 145 St; JHS149 Plgd.: 3 Ave, E 144 To E 145 Sts; Willis Plgd.; E 139 St, E 140 St, Willis & Alexander Aves","X103","2021-09-10","2024-12-31","null","X103-155-200-217-MT","null","null","Mobile Food Truck"
"Louis C. Moser Park Mobile Food Truck","25th Ave. & 76th St.","Q366","2021-01-01","2024-12-31","null","Q366-MT","null","null","Mobile Food Truck"
"Marine Park Mobile Truck","Madison & Filmore Aves.","B057","2019-02-25","2023-10-24","null","B57-1MT","null","null","Mobile Food Truck"
"PAPAZIAN  Q3400006, AKOP","Skillsman Ave. & 43rd St.","Q340","2019-05-13","2023-12-31","null","Q340-MT","null","null","Mobile Food Truck"
"Slattery Playground Mobile Truck","Northwest Corner of East 183rd Street & Valentine Avenue","X085","2018-02-21","2022-12-31","null","X85-MT","null","null","Mobile Food Truck"
"Watson Park Mobile Truck","Watson Ave. & Soundview Ave. b/b Fields","X124","2019-04-12","2023-12-31","null","X124-2-MT","null","null","Mobile Food Truck"
"Charles Drew Memorial Park Mobile Ice Cream Truck","Van Wyck Expressway, 116th","Q220C","2018-07-24","2022-12-31","null","Q220-MT","null","null","Mobile Food Truck"
"Crotona Park Mobile Food Truck","At Entrance to Hill & Dale Playground at East 173rd Street","X010","2019-03-27","2023-12-31","null","X10-(5)MT","null","null","Mobile Food Truck"
"Crotona Park Mobile Food Truck","North from Prospect Street to Clinton Street","X010","2019-03-01","2023-12-31","null","X10-(8)MT","null","null","Mobile Food Truck"
"Crotona Park Mobile Food Truck","East 173rd Street & Fulton Avenue At Entrance to Pool","X010","2019-03-01","2023-12-31","null","X10-(P)MT","null","null","Mobile Food Truck"
"Plumb Beach Mobile Food Truck","Plumb Beach Parking Lot","B164","2018-07-18","2022-12-31","null","B57-B-MT","null","null","Mobile Food Truck"
"Bensonhurst Park Mobile Food Truck","End of Bay Parkway, near shopping center","B007","2018-04-10","2022-12-31","null","B7-MT","null","null","Mobile Food Truck"
"Jackie Robinson Park Mobile Food Truck","Jackie Robinson Park","M014","2018-03-20","2022-12-31","null","M14-MT","null","null","Mobile Food Truck"
"PS 199 Playground Mobile Food Truck","PS 199 Playground","M233","2017-01-01","2021-06-30","null","M233-MT","null","null","Mobile Food Truck"
"Fort Tryon Park Mobile Food Truck","Margaret Corbin Circle","M029","2019-02-28","2023-12-31","null","M29-2-C","null","null","Mobile Food Truck"
"Alexander Hamilton Plygrd Mobile Food Truck","Alexander Hamilton Plygrd","M041","2019-02-06","2023-12-31","null","M41-W140-MT","null","null","Mobile Food Truck"
"Cross Island Mobile Food Truck","Cross Island Parkway and Clearview Parkway","Q135","2019-03-18","2023-12-31","null","Q135-MT","null","null","Mobile Food Truck"
"PS 173 Playground Mobile Food Truck","Fresh Meadows Playground","Q314","2021-01-01","2024-12-31","null","Q314-MT","null","null","Mobile Food Truck"
"Gunn Park Mobile Food Truck","William T. Gunn Playground","Q358","2019-04-23","2023-12-31","null","Q358-MT","null","null","Mobile Food Truck"
"Hart Playground Mobile Food Truck","General Hart Playground","Q067A","2019-03-20","2023-12-31","null","Q419-MT","null","null","Mobile Food Truck"
"Memorial Field Mobile Food Truck","Flushing Fields","Q086","2019-03-18","2023-12-31","null","Q86-MT","null","null","Mobile Food Truck"
"Flushing Meadows Mobile Food Truck","Herbert Hoover Promenade and Avenue of Commerce","Q099","2018-06-13","2022-12-31","null","Q99-MT","null","null","Mobile Food Truck"
"Bloomingdale Park Mobile Food Truck","Bloomingdale Park","R106","2019-02-18","2023-12-31","null","R106-2-MT","null","null","Mobile Food Truck"
"Owl Hollow Park Mobile Food Truck","Owls Hollow Soccer Fields","R017","2018-06-11","2022-12-31","null","R17-MT","null","null","Mobile Food Truck"
"Midland Beach Mobile Food Truck","Parking Lot 2","R046","2019-04-23","2023-12-31","null","R46-2-MT","null","null","Mobile Food Truck"
"Midland Beach Mobile Food Truck","Parking Lot 9","R046","2018-06-04","2022-12-31","null","R46-3-MT","null","null","Mobile Food Truck"
"Midland Beach Mobile Food Truck","Fishing Pier at Parking Lot 6","R046","2019-05-08","2023-12-31","null","R46-MT","null","null","Mobile Food Truck"
"Clove Lakes Park Mobile Food Truck","Clove Lakes Park","R005","2019-02-18","2023-12-31","null","R5-MT","null","null","Mobile Food Truck"
"Conference House Park Mobile Food Trucks","Conference House Park","R006","2018-06-05","2022-12-31","null","R6-MT","null","null","Mobile Food Truck"
"PS 52 Mason Playground Mobile Food Truck","Dongan Playground","R087","2019-04-23","2023-12-31","null","R87-MT","null","null","Mobile Food Truck"
"Ciccarone Park Mobile Food Truck","Ciccarone Park","X102","2019-03-01","2023-12-31","null","X102-MT","null","null","Mobile Food Truck"
"Belmont Playground Mobile Food Trucks","Belmont Playground","B283","2019-03-01","2023-12-31","null","X108-MT","null","null","Mobile Food Truck"
"Tremont Park Mobile Food Truck","Playground Entrance","X010A","2019-03-01","2023-12-31","null","X10-A-MT","null","null","Mobile Food Truck"
"Soundview Park Mobile Food Trucks","Soundview Park","X118","2019-04-10","2023-12-31","null","X118-4-MT","null","null","Mobile Food Truck"
"Florence Colucci Playground Mobile Food Truck","Colucci Playground","X122","2018-06-11","2022-12-31","null","X122-MT","null","null","Mobile Food Truck"
"Watson Park Mobile Food Trucks","Watson Gleason Playground","X124","2019-04-12","2023-12-31","null","X124-MT","null","null","Mobile Food Truck"
